Most frequent newborn children names. 2018
Catalunya
"Source: Idescat, on the basis of birth statistics."
Note: the ‰ has been calculated out of the total living newborns in the year and place of residence selected.
Note: Only shows the names with frequency >=4.
Institut d'Estadística de Catalunya
http://www.idescat.cat/nadons/?lang=en
Pos.,Sex,Name,Ranking. Frequency,Ranking. ‰
0001,M,MARC,640,10.13
0002,W,JÚLIA/JULIA,587,9.29
0003,M,POL,548,8.67
0004,W,MARTINA,522,8.26
0005,W,EMMA,519,8.22
0006,M,ÀLEX/ÁLEX,499,7.90
0007,M,JAN,489,7.74
0008,W,MARIA/MARÍA,466,7.38
0009,M,NIL,461,7.30
0010,M,LEO,459,7.27
0011,M,ERIC/ÈRIC/ÉRIC,444,7.03
0012,M,PAU,442,7.00
0013,W,LUCÍA,441,6.98
0014,M,MARTÍ,432,6.84
0015,W,PAULA,426,6.74
0016,W,LAIA,423,6.70
0017,M,LUCAS,419,6.63
0018,M,HUGO,417,6.60
0019,M,BIEL,415,6.57
0020,W,SOFÍA/SOFIA,388,6.14
0021,M,ARNAU,378,5.98
0022,W,AINA,377,5.97
0023,W,ABRIL,371,5.87
0024,W,NOA,368,5.83
0025,W,MIA,348,5.51
0026,W,ONA,347,5.49
0027,W,SARA,338,5.35
0028,W,CARLA,330,5.22
0028,W,CHLOE/CHLÓE,330,5.22
0030,W,ARLET,324,5.13
0031,M,BRUNO,299,4.73
0032,W,JANA,276,4.37
0032,W,LIA/LÍA,276,4.37
0034,M,ALEIX,272,4.31
0035,M,ENZO,270,4.27
0036,M,MATEO,267,4.23
0037,W,CLÀUDIA/CLAUDIA,261,4.13
0038,W,ALBA,260,4.12
0039,M,DANIEL,251,3.97
0040,W,VALENTINA,247,3.91
0041,M,ADAM,237,3.75
0042,W,DANIELA,231,3.66
0042,M,MAX,231,3.66
0044,M,DAVID,229,3.62
0045,M,GAEL,226,3.58
0046,M,ROC,223,3.53
0047,M,GERARD,219,3.47
0048,W,VALÈRIA/VALERIA,216,3.42
0049,W,GALA,215,3.40
0050,M,ARAN/ARÁN,209,3.31
0051,M,MOHAMED,206,3.26
0052,M,LIAM,201,3.18
0053,M,JORDI,193,3.06
0054,W,NORA,192,3.04
0055,W,BRUNA,191,3.02
0056,M,LLUC,187,2.96
0056,M,THIAGO,187,2.96
0058,M,UNAI,186,2.94
0059,W,BERTA,184,2.91
0059,M,DYLAN,184,2.91
0059,M,IAN,184,2.91
0059,W,LARA,184,2.91
0063,M,AMIR,181,2.87
0064,W,OLÍVIA/OLIVIA,180,2.85
0065,M,LUCÀ,179,2.83
0066,W,ALMA,173,2.74
0066,W,IVET,173,2.74
0068,M,ROGER,172,2.72
0069,W,CLARA,165,2.61
0070,W,ARIADNA,161,2.55
0070,M,AXEL,161,2.55
0070,W,MAR,161,2.55
0073,M,JOAN,160,2.53
0074,W,CARLOTA,155,2.45
0074,M,JOEL,155,2.45
0076,W,VERA,153,2.42
0077,W,ANNA,152,2.41
0078,M,MARIO,151,2.39
0079,M,ADRIÀ,150,2.37
0079,M,JULEN,150,2.37
0079,M,MARTÍN,150,2.37
0082,M,ALEJANDRO,148,2.34
0083,M,PABLO,145,2.30
0084,M,ORIOL,144,2.28
0085,M,IZAN,143,2.26
0086,W,ELNA,142,2.25
0086,W,VEGA,142,2.25
0088,W,ÈLIA/ELIA,141,2.23
0089,W,AMIRA,137,2.17
0090,M,GUILLEM,136,2.15
0091,W,AITANA,133,2.11
0091,W,LOLA,133,2.11
0093,M,GABRIEL,128,2.03
0094,M,ADRIÁN,127,2.01
0094,M,ALAN,127,2.01
0096,W,ELSA,126,1.99
0096,M,ÁLVARO,126,1.99
0098,M,ERIK,123,1.95
0099,M,AARON/AARÓN,121,1.92
0099,W,BLANCA,121,1.92
0099,W,LAURA,121,1.92
0102,M,ISAAC,120,1.90
0103,W,NOUR,117,1.85
0104,M,RAYAN,116,1.84
0104,W,ZOÈ/ZOÉ/ZOE,116,1.84
0106,M,DIEGO,115,1.82
0106,M,VÍCTOR,115,1.82
0108,W,MARINA,113,1.79
0109,M,DÍDAC,111,1.76
0109,W,GRETA,111,1.76
0109,M,JOSÉ,111,1.76
0112,M,KAI,110,1.74
0113,M,IMRAN,107,1.69
0113,W,LINA,107,1.69
0115,W,LEIRE,104,1.65
0115,M,QUIM,104,1.65
0115,M,YOUSSEF,104,1.65
0118,M,MARCO,103,1.63
0118,W,MARIONA,103,1.63
0120,M,HÈCTOR/HÉCTOR,102,1.61
0121,M,ANTONIO,101,1.60
0122,M,NOAH,100,1.58
0123,W,AINHOA,99,1.57
0123,W,NÚRIA/NURIA,99,1.57
0125,W,AINARA,98,1.55
0125,W,ELENA,98,1.55
0125,M,OLIVER,98,1.55
0128,W,INÉS,97,1.54
0128,M,NICOLÀS/NICOLÁS,97,1.54
0130,M,ADAY,94,1.49
0130,M,ANAS/ANÁS,94,1.49
0130,M,TEO,94,1.49
0133,W,CANDELA,93,1.47
0133,M,IKER,93,1.47
0133,M,OMAR,93,1.47
0136,W,GINA,91,1.44
0136,W,IRIS,91,1.44
0138,W,ALÈXIA/ALEXIA,90,1.42
0138,W,LEYRE,90,1.42
0140,W,AYA,89,1.41
0141,M,MANUEL,88,1.39
0141,M,MIQUEL,88,1.39
0143,W,CLOÈ/CLOE,87,1.38
0143,W,FÀTIMA/FÁTIMA,87,1.38
0143,W,IRENE,87,1.38
0143,W,QUERALT,87,1.38
0143,W,VICTÒRIA/VICTORIA,87,1.38
0148,M,ANIOL,84,1.33
0148,M,SAMUEL,84,1.33
0150,W,HELENA,83,1.31
